#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
地|有些 地方 沒有 車 就 很不方便 。<br /><br />yǒuxiē dìfāng méiyǒu chē jiù hěnbùfāngbiàn.<br /><br />Not having a car can make getting around difficult in some places.
出|不在 ， 他們 出門了 。<br /><br />búzài, tāmen chūménle·.<br /><br />No, they're out.
道|這些 人 是 誰 ？> 我 不知道 這些 人 是 誰 。<br /><br />zhèxiē rén shì shéi? > wǒ bùzhīdào zhèxiē rén shì shéi.<br /><br />Who are those people? — I don't know who those people are.
也|我 玩得 很開心。 — 我 也是。<br /><br />wǒ wándé hěnkāixīn. — wǒ yěshì.<br /><br />I had a good time. — I did, too.
時|一天 有 二十四 小時 。<br /><br />yìtiān yǒu èrshísì xiǎoshí.<br /><br />There are twenty-four (24) hours in a day.
年|我 住在 這間 房子 十年 了 。<br /><br />wǒ zhùzài zhèjiān fángzǐ shínián le·.<br /><br />I've lived in this house for ten (10) years.
得|你 說得 太小聲 。 我 聽不到 。<br /><br />nǐ shuōdé tàixiǎoshēng. wǒ tīngbúdào.<br /><br />You're speaking very quietly. I can't hear you.
就|我 四月 就 有了 。<br /><br />wǒ sìyuè jiù yǒule·.<br /><br />I've had it since April.
那|不是 ， 那 不是 。<br /><br />búshì, nà búshì.<br /><br />No, it isn't [yours].
要|對 ， 我 要走了 。<br /><br />duì, wǒ yàozǒule·.<br /><br />Yes, I am [leaving now]
下|在 下雨 。<br /><br />zài xiàyǔ.<br /><br />It's raining.
以|我 要 在 你 上 大學 以前 給 你 一點 意見 。<br /><br />wǒ yào zài nǐ shàng dàxué yǐqián gěi nǐ yìdiǎn yìjiàn.<br /><br />I'd like to give you some advice before you go off to college.
生|有 事情 要發生了 。<br /><br />yǒu shìqíng yàofāshēngle·.<br /><br />Something is going to happen.
會|有 多少人 去 開會 ？<br /><br />yǒu duōshǎorén qù kāihuì?<br /><br />How many people came to the meeting?
自|我 來自 加拿大 。<br /><br />wǒ láizì jiānádà.<br /><br />I'm from Canada.
著|我 寧可站著 。<br /><br />wǒ níngkězhànzhe·.<br /><br />I'd rather stand than sit.
去|有 多少人 去 開會 ？<br /><br />yǒu duōshǎorén qù kāihuì?<br /><br />How many people came to the meeting?
之|她 說 一個 小時 之前 會到 ， 但是 她 到現在 還沒到 。<br /><br />tā shuō yīge· xiǎoshí zhīqián huìdào, dànshì tā dàoxiànzài háiméidào.<br /><br />She said she would be here an hour ago, and she still hasn't arrived.
過|她 去過 日本 一次 。<br /><br />tā qùguò rìběn yícì.<br /><br />She's been to Japan once.
家|她 不在 家 ， 她 在 工作 。<br /><br />tā búzài jiā, tā zài gōngzuò.<br /><br />She isn't home. She's at work.
學|你 是 學生 嗎 ？<br /><br />nǐ shì xuéshēng mā?<br /><br />Are you a student?
對|對 ， 我 是 。<br /><br />duì, wǒ shì.<br /><br />Yes, I am [a student].
可|我 不相信 ！ 這 不可能 ！<br /><br />wǒ bùxiāngxìn! zhè bùkěnéng!<br /><br />I don't believe it! That's impossible.
她|不是 ， 她 是 美國人 。<br /><br />búshì, tā shì měiguórén.<br /><br />No, she's American.
後|我 兩年後 會有 新的 工作 。<br /><br />wǒ liǎngniánhòu huìyǒu xīnde· gōngzuò.<br /><br />I'll be at a new job two (2) years from now.
小|一天 有 二十四 小時 。<br /><br />yìtiān yǒu èrshísì xiǎoshí.<br /><br />There are twenty-four (24) hours in a day.
心|過 馬路時 要小心 。<br /><br />guò mǎlùshí yàoxiǎoxīn.<br /><br />Be careful when crossing the street.
多|有 多少人 去 開會 ？<br /><br />yǒu duōshǎorén qù kāihuì?<br /><br />How many people came to the meeting?
天|一天 有 二十四 小時 。<br /><br />yìtiān yǒu èrshísì xiǎoshí.<br /><br />There are twenty-four (24) hours in a day.
而|他們 有 很多 書 ，而且 都 讀過了 。<br /><br />tāmen yǒu hěnduō shū, érqiě dōu dúguòle·.<br /><br />They have lots of books, and have read all of them.
能|我 不相信 ！ 這 不可能 ！<br /><br />wǒ bùxiāngxìn! zhè bùkěnéng!<br /><br />I don't believe it! That's impossible.
好|對 ， 我 還好。<br /><br />duì, wǒ háihǎo.<br /><br />Yes, I'm fine.
都|他們都 很好。<br /><br />tāmendōu hěnhǎo.<br /><br />They're doing fine.
然|你 會幫 我 ， 對 吧 ？— 對 ， 我 當然 會 。<br /><br />nǐ huìbāng wǒ, duì ba·? — duì, wǒ dāngrán huì.<br /><br />You'll help me, won't you? — Yes, of course I will.
沒|沒有 ， 我 沒有 。<br /><br />méiyǒu, wǒ méiyǒu.<br /><br />No, I'm not [watching TV].
日|她 去過 日本 一次 。<br /><br />tā qùguò rìběn yícì.<br /><br />She's been to Japan once.
於|他 死於 心臟病 。<br /><br />tā sǐyú xīnzàngbìng.<br /><br />He died FROM heart disease.
起|他 可能會 早起 。<br /><br />tā kěnénghuì zǎoqǐ.<br /><br />He might get up early.
還|對 ， 我 還好。<br /><br />duì, wǒ háihǎo.<br /><br />Yes, I'm fine.
發|有 事情 要發生了 。<br /><br />yǒu shìqíng yàofāshēngle·.<br /><br />Something is going to happen.
成|我 完成 我的 工作 了 。 我 兩點 就 完成 我 的 工作 了 。<br /><br />wǒ wánchéng wǒde· gōngzuò le·. wǒ liǎngdiǎn jiù wánchéng wǒde· gōngzuò le·.<br /><br />I've finished my work. > I finished my work at two.
事|有 事情 要發生了 。<br /><br />yǒu shìqíng yàofāshēngle·.<br /><br />Something is going to happen.
作|她 不在 家 ， 她 在 工作 。<br /><br />tā búzài jiā, tā zài gōngzuò.<br /><br />She isn't home. She's at work.
當|你 當 老師 多久了 ？<br /><br />nǐ dāng lǎoshī duōjiǔle·?<br /><br />How long have you been a teacher?
想|他們都 不想要有 孩子 。<br /><br />tāmendōu bùxiǎngyàoyǒu háizǐ.<br /><br />Neither of them want to have children.
看|看 你 。<br /><br />kàn nǐ.<br /><br />It depends on you.
文|你的 英文 很好。<br /><br />nǐde· yīngwén hěnhǎo.<br /><br />Your English is good.
無|如果 無心 做事 ，那 不如 別 做了 。<br /><br />rúguǒ wúxīn zuòshì, nà bùrú bié zuòle·.<br /><br />There's no point in doing a job if you don't do it properly.
開|有 多少人 去 開會 ？<br /><br />yǒu duōshǎorén qù kāihuì?<br /><br />How many people came to the meeting?
手|我的 手 好冷 。<br /><br />wǒde· shǒu hǎolěng.<br /><br />My hands are cold.
十|一天 有 二十四 小時 。<br /><br />yìtiān yǒu èrshísì xiǎoshí.<br /><br />There are twenty-four (24) hours in a day.
用|不用 ， 他 不用 。<br /><br />búyòng, tā búyòng.<br /><br />No, he isn't [working].
主|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
行|我們 有 很多 行李 。<br /><br />wǒmen yǒu hěnduō xínglǐ.<br /><br />We had a lot of bags and suitcases. > We had a lot of baggage.
方|有些 地方 沒有 車 就 很不方便 。<br /><br />yǒuxiē dìfāng méiyǒu chē jiù hěnbùfāngbiàn.<br /><br />Not having a car can make getting around difficult in some places.
又|他 又 遲到了 。 他 就是 這樣 ， 每次都 讓 別人 等 。<br /><br />tā yòu chídàole·. tā jiùshì zhèyàng, měicìdōu ràng biérén děng.<br /><br />He's late again. It's typical of him to keep everybody waiting.
如|如果 無心 做事 ，那 不如 別 做了 。<br /><br />rúguǒ wúxīn zuòshì, nà bùrú bié zuòle·.<br /><br />There's no point in doing a job if you don't do it properly.
前|她 說 一個 小時 之前 會到 ， 但是 她 到現在 還沒到 。<br /><br />tā shuō yīge· xiǎoshí zhīqián huìdào, dànshì tā dàoxiànzài háiméidào.<br /><br />She said she would be here an hour ago, and she still hasn't arrived.
所|沒有 ， 天氣 很不好， 所以 我們 沒有打 。<br /><br />méiyǒu, tiānqì hěnbùhǎo, suǒyǐ wǒmen méiyǒudǎ.<br /><br />No, the weather was very bad, so we didn't play.
本|她 去過 日本 一次 。<br /><br />tā qùguò rìběn yícì.<br /><br />She's been to Japan once.
見|我 要走了 ， 再見 。<br /><br />wǒ yàozǒule·, zàijiàn.<br /><br />I'm leaving now, goodbye.
經|我 已經 給了 她 所有 我 有 的 錢 。<br /><br />wǒ yǐjīng gěile· tā suǒyǒu wǒ yǒu de· qián.<br /><br />I gave her all the money that I had. > I gave her all the money I had.
頭|你 多 常 洗 頭 ？<br /><br />nǐ duō cháng xǐ tóu?<br /><br />How often do you wash your hair?
面|我們 幾點 見面 好？<br /><br />wǒmen jǐdiǎn jiànmiàn hǎo?<br /><br />What time should we meet?
公|公車 要來了 嗎 ？<br /><br />gōngchē yàoláile· mā?<br /><br />Is the bus coming?
同|她 做過 很多 不同 工作 。<br /><br />tā zuòguò hěnduō bùtóng gōngzuò.<br /><br />She's had many different jobs.
三|九月 有 三十天 。<br /><br />jiǔyuè yǒu sānshítiān.<br /><br />There are thirty (30) days in September.
已|我 已經 給了 她 所有 我 有 的 錢 。<br /><br />wǒ yǐjīng gěile· tā suǒyǒu wǒ yǒu de· qián.<br /><br />I gave her all the money that I had. > I gave her all the money I had.
老|我 是 老師 。<br /><br />wǒ shì lǎoshī.<br /><br />I'm a teacher.
從|從 你家 到 機場 有 多遠 ？<br /><br />cóng nǐjiā dào jīchǎng yǒu duōyuǎn?<br /><br />How far is it from your house to the airport?
動|我 需要 更多的 運動 。> 我 要開始 多 運動 。<br /><br />wǒ xūyào gèngduōde· yùndòng. > wǒ yàokāishǐ duō yùndòng.<br /><br />I need to get more exercise. > I need to start working out more.
兩|我 完成 我的 工作 了 。 我 兩點 就 完成 我 的 工作 了 。<br /><br />wǒ wánchéng wǒde· gōngzuò le·. wǒ liǎngdiǎn jiù wánchéng wǒde· gōngzuò le·.<br /><br />I've finished my work. > I finished my work at two.
長|長城 在 中國 。<br /><br />chángchéng zài zhōngguó.<br /><br />The Great Wall of China is in China.
知|這些 人 是 誰 ？> 我 不知道 這些 人 是 誰 。<br /><br />zhèxiē rén shì shéi? > wǒ bùzhīdào zhèxiē rén shì shéi.<br /><br />Who are those people? — I don't know who those people are.
民|我們 已經 決定 不移民 澳洲 了 。<br /><br />wǒmen yǐjīng juédìng bùyímín àozhōu le·.<br /><br />We've decided against moving to Australia.
樣|我 不常 這樣 做 。<br /><br />wǒ bùcháng zhèyàng zuò.<br /><br />I don't do it very often.
現|沒有 ， 現在 沒有 。<br /><br />méiyǒu, xiànzài méiyǒu.<br /><br />No, not right now.
分|這本 書 被 分成 三個 部份 。<br /><br />zhèběn shū bèi fēnchéng sānge· bùfèn.<br /><br />This book is divided into three (3) parts.
將|一些 舊房子 必須 拆除 ， 將 空間 拿來 蓋 新 房子 。 這些 屋主 試著去 抗爭 ， 但 無濟於 事 。<br /><br />yìxiē jiùfángzǐ bìxū chāichú, jiāng kōngjiān nálái gài xīnfángzǐ. zhèxiē wūzhǔ shìzhe·qù kàngzhēng, dàn wújìyúshì.<br /><br />Some old houses were torn down to make room for a new housing development. The owners of the houses tried to protest, but it was to no avail.
外|這 是 你的 外套 。<br /><br />zhè shì nǐde· wàitào.<br /><br />Here's your coat.
但|我 是 日本人 ， 但 我 先生 不是 日本人 。<br /><br />wǒ shì rìběnrén, dàn wǒ xiānshēng búshì rìběnrén.<br /><br />I'm Japanese, but my husband isn't.
身|還沒， 我 單身 。<br /><br />háiméi, wǒ dānshēn.<br /><br />No, I'm single.
些|那些 書 我 都 看過了 。<br /><br />nàxiē shū wǒ dōu kànguòle·.<br /><br />I've read every one (1) of those books.
與|他們 還是 無法 與 對方 相處 ， 最後 還是 以 失敗 告終 。<br /><br />tāmen háishì wúfǎ yǔ duìfāng xiāngchù, zuìhòu háishì yǐ shībài gàozhōng.<br /><br />They couldn't get along with each other, so the relationship didn't work out in the end.
高|等 我 高中畢業 ， 我 要上 大學 。<br /><br />děng wǒ gāozhōngbìyè, wǒ yàoshàng dàxué.<br /><br />When I finish high school, I want to go to college.
意|我 要 在 你 上 大學 以前 給 你 一點 意見 。<br /><br />wǒ yào zài nǐ shàng dàxué yǐqián gěi nǐ yìdiǎn yìjiàn.<br /><br />I'd like to give you some advice before you go off to college.
進|我 沒聽到 你 進來 。<br /><br />wǒ méitīngdào nǐ jìnlái.<br /><br />I didn't hear you come in.
把|怕 我 媽媽 打來 ， 我 會把 手機 開著 。<br /><br />pà wǒ māmā dǎlái, wǒ huìbǎ shǒujī kāizhe·.<br /><br />I'll leave my phone on just in case my mother calls.
法|你 去過 法國 嗎 ？— 我 沒有 。<br /><br />nǐ qùguò fàguó mā? — wǒ méiyǒu.<br /><br />Have you been to France? — No, I haven't.
此|我們 以前 沒見過面 ， 所以 我們 向 彼此 介 紹了 自己 。<br /><br />wǒmen yǐqián méijiànguòmiàn, suǒyǐ wǒmen xiàng bǐcǐ jièshàole· zìjǐ.<br /><br />We'd never met before, so we introduced ourselves to one another.
實|事實上 ， 一個人住 有 很多 好處 。<br /><br />shìshíshàng, yīge·rénzhù yǒu hěnduō hǎochù.<br /><br />In fact, there are many advantages TO living alone.
回|你 寫給 他 了沒？— 寫了 ， 但 他 還沒回 。<br /><br />nǐ xiěgěi tā le·méi? — xiěle·, dàn tā háiméihuí.<br /><br />Have you written him yet? — Yes, and he still hasn't replied.
二|一天 有 二十四 小時 。<br /><br />yìtiān yǒu èrshísì xiǎoshí.<br /><br />There are twenty-four (24) hours in a day.
理|理查 去過 中國 ， 但 我 還沒 去過 。<br /><br />lǐchá qùguò zhōngguó, dàn wǒ háiméi qùguò.<br /><br />Richard has been to China, but I haven't.
美|不是 ， 她 是 美國人 。<br /><br />búshì, tā shì měiguórén.<br /><br />No, she's American.
點|有 一點 。<br /><br />yǒu yìdiǎn.<br /><br />Yes, a little.
月|我 四月 就 有了 。<br /><br />wǒ sìyuè jiù yǒule·.<br /><br />I've had it since April.
明|我 明天 很有可能會見到 你 。 我 可能 明天 會見 你。<br /><br />wǒ míngtiān hěnyǒukěnénghuìjiàndào nǐ. wǒ kěnéng míngtiān huìjiàn nǐ.<br /><br />It's possible that I'll see you tomorrow. > I might see you tomorrow.
其|她 想知道 我 會不會 說 其他 語言 。<br /><br />tā xiǎngzhīdào wǒ huìbúhuì shuō qítā yǔyán.<br /><br />She wanted to know if I could speak another language.
種|她 會 說 四種 語言 。<br /><br />tā huì shuō sìzhǒng yǔyán.<br /><br />She speaks four (4) languages.
聲|你 說得 太小聲 。 我 聽不到 。<br /><br />nǐ shuōdé tàixiǎoshēng. wǒ tīngbúdào.<br /><br />You're speaking very quietly. I can't hear you.
全|他們 說的 全都 是 真的 。<br /><br />tāmen shuōde· quándōu shì zhēnde·.<br /><br />Everything that they said was true. > Everything they said was true.
工|她 不在 家 ， 她 在 工作 。<br /><br />tā búzài jiā, tā zài gōngzuò.<br /><br />She isn't home. She's at work.
己|你 想 再 吃 多一點 就 自己 來 吧 。<br /><br />nǐ xiǎng zài chī duōyìdiǎn jiù zìjǐ lái ba·.<br /><br />If you want more to eat, help yourselves.
話|你 沒在 聽 我 說話 。<br /><br />nǐ méizài tīng wǒ shuōhuà.<br /><br />You're not listening to me.
兒|他 最大的 兒子 十六歲 。<br /><br />tā zuìdàde· érzǐ shíliùsuì.<br /><br />His eldest son is sixteen (16) years old.
者|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
向|我 一向 有 話 直說 。<br /><br />wǒ yīxiàng yǒu huà zhíshuō.<br /><br />I believe in saying what I think.
情|有 事情 要發生了 。<br /><br />yǒu shìqíng yàofāshēngle·.<br /><br />Something is going to happen.
部|你 有去過 法國南部 嗎 ？<br /><br />nǐ yǒuqùguò fàguónánbù mā?<br /><br />Have you ever been to the south of France?
正|他們 在 家 。 他們 正 要出門 。 他們 出門了 。 他們 不在 家 了 。<br /><br />tāmen zài jiā. tāmen zhèng yàochūmén. tāmen chūménle·. tāmen búzài jiā le·.<br /><br />They're at home. They're going out. They've gone out. They're not at home now.
名|我 以前 看過 那 女人 ， 但 不記得 她的 名字 。<br /><br />wǒ yǐqián kànguò nà nǚrén, dàn bújìdé tāde· míngzì.<br /><br />I've seen that woman before, but I can't remember her name.
定|他 下午 一定 會 出門 。<br /><br />tā xiàwǔ yídìng huì chūmén.<br /><br />He's going out in the afternoon for sure.
女|我 以前 看過 那 女人 ， 但 不記得 她的 名字 。<br /><br />wǒ yǐqián kànguò nà nǚrén, dàn bújìdé tāde· míngzì.<br /><br />I've seen that woman before, but I can't remember her name.
問|問 他 ， 他 有 沒有 電腦 。— 有 ， 他 有 電腦 。<br /><br />wèn tā, tā yǒu méiyǒu diànnǎo. — yǒu, tā yǒu diànnǎo.<br /><br />Ask if he has a computer. — Yes, he's got a computer.
力|你 沒有 努力 工作 。<br /><br />nǐ méiyǒu nǔlì gōngzuò.<br /><br />You don't work very hard.
機|從 你家 到 機場 有 多遠 ？<br /><br />cóng nǐjiā dào jīchǎng yǒu duōyuǎn?<br /><br />How far is it from your house to the airport?
給|我 要 在 你 上 大學 以前 給 你 一點 意見 。<br /><br />wǒ yào zài nǐ shàng dàxué yǐqián gěi nǐ yìdiǎn yìjiàn.<br /><br />I'd like to give you some advice before you go off to college.
等|你 在等 誰 ？<br /><br />nǐ zàiděng shéi?<br /><br />Who are you waiting for?
幾|他 幾點 走的 ？<br /><br />tā jǐdiǎn zǒude·?<br /><br />What time did he go?
很|他 很好。<br /><br />tā hěnhǎo.<br /><br />He's doing great.
業|等 我 高中畢業 ， 我 要上 大學 。<br /><br />děng wǒ gāozhōngbìyè, wǒ yàoshàng dàxué.<br /><br />When I finish high school, I want to go to college.
最|他 最大的 兒子 十六歲 。<br /><br />tā zuìdàde· érzǐ shíliùsuì.<br /><br />His eldest son is sixteen (16) years old.
間|我 很有可能 沒空 出去 。 我 可能 沒有 時間 出去 。<br /><br />wǒ hěnyǒukěnéng méikòng chūqù. wǒ kěnéng méiyǒu shíjiān chūqù.<br /><br />It's possible that I won't have time to go out. > I might not have time to go out.
新|他 有個 新工作 。<br /><br />tā yǒuge· xīngōngzuò.<br /><br />He has a new job.
甚|他們 對 我們 不是 很友善 。 他們 甚至 沒有 打招呼 。<br /><br />tāmen duì wǒmen búshì hěnyǒushàn. tāmen shénzhì méiyǒu dǎzhāohū.<br /><br />They weren't very friendly to us. They didn't even say hello.
打|沒有 ， 天氣 很不好， 所以 我們 沒有打 。<br /><br />méiyǒu, tiānqì hěnbùhǎo, suǒyǐ wǒmen méiyǒudǎ.<br /><br />No, the weather was very bad, so we didn't play.
便|有些 地方 沒有 車 就 很不方便 。<br /><br />yǒuxiē dìfāng méiyǒu chē jiù hěnbùfāngbiàn.<br /><br />Not having a car can make getting around difficult in some places.
位|那 是 我的 位子 。<br /><br />nà shì wǒde· wèizǐ.<br /><br />That's my seat.
因|我們 沒出去 ， 因為 外面 下 大雨 。<br /><br />wǒmen méichūqù, yīnwèi wàimiàn xià dàyǔ.<br /><br />We didn't go out because it was raining heavily.
重|這個 包包 好重 。<br /><br />zhège· bāobāo hǎozhòng.<br /><br />This bag's heavy.
被|這本 書 被 分成 三個 部份 。<br /><br />zhèběn shū bèi fēnchéng sānge· bùfèn.<br /><br />This book is divided into three (3) parts.
走|對 ， 我 要走了 。<br /><br />duì, wǒ yàozǒule·.<br /><br />Yes, I am [leaving now]
電|我 看了 電視 。<br /><br />wǒ kànle· diànshì.<br /><br />I watched TV.
四|我 四月 就 有了 。<br /><br />wǒ sìyuè jiù yǒule·.<br /><br />I've had it since April.
第|如果 有 任何 新消息 ， 我 會讓 你 在 第一 時間 知道 。<br /><br />rúguǒ yǒu rènhé xīnxiāoxí, wǒ huìràng nǐ zài dìyī shíjiān zhīdào.<br /><br />If I have any more news, you'll be the first person to know.
門|不在 ， 他們 出門了 。<br /><br />búzài, tāmen chūménle·.<br /><br />No, they're out.
相|我 不相信 你 。<br /><br />wǒ bùxiāngxìn nǐ.<br /><br />I don't believe you.
次|她 去過 日本 一次 。<br /><br />tā qùguò rìběn yícì.<br /><br />She's been to Japan once.
東|我 沒有 在吃 東西 。<br /><br />wǒ méiyǒu zàichī dōngxī.<br /><br />I'm not eating.
政|我 對 政治 沒有 興趣 。<br /><br />wǒ duì zhèngzhì méiyǒu xìngqù.<br /><br />I'm not interested in politics.
海|太平洋 是 世界上 最大的 海洋 。<br /><br />tàipíngyáng shì shìjièshàng zuìdàde· hǎiyáng.<br /><br />The Pacific is the largest ocean.
口|有人 在 門口 ， 你 可以去 開門 嗎 ？<br /><br />yǒurén zài ménkǒu, nǐ kěyǐqù kāimén mā?<br /><br />There's somebody at the door, could you please answer it?
使|美金 是 許多 國家 使用的 貨幣 。<br /><br />měijīn shì xǔduō guójiā shǐyòngde· huòbì.<br /><br />The dollar is the currency of many countries.
教|他們 教書 嗎 ？<br /><br />tāmen jiàoshū mā?<br /><br />Do they teach?
西|我 沒有 在吃 東西 。<br /><br />wǒ méiyǒu zàichī dōngxī.<br /><br />I'm not eating.
再|我 要走了 ， 再見 。<br /><br />wǒ yàozǒule·, zàijiàn.<br /><br />I'm leaving now, goodbye.
平|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
真|他們 說的 全都 是 真的 。<br /><br />tāmen shuōde· quándōu shì zhēnde·.<br /><br />Everything that they said was true. > Everything they said was true.
聽|我 沒聽到 你 進來 。<br /><br />wǒ méitīngdào nǐ jìnlái.<br /><br />I didn't hear you come in.
世|她 世界 各地 旅行過 。<br /><br />tā shìjiè gède· lǚxíngguò.<br /><br />She's traveled all over the world.
氣|天氣 好 嗎 ？<br /><br />tiānqì hǎo mā?<br /><br />Was the weather nice?
信|我 不相信 你 。<br /><br />wǒ bùxiāngxìn nǐ.<br /><br />I don't believe you.
北|瑞典 是 一個 北歐 國家。<br /><br />ruìdiǎn shì yīge· běiōu guójiā.<br /><br />Sweden is a country in northern Europe.
少|有 多少人 去 開會 ？<br /><br />yǒu duōshǎorén qù kāihuì?<br /><br />How many people came to the meeting?
關|你 可以關 電視 。 我 沒有 在看 。<br /><br />nǐ kěyǐguān diànshì. wǒ méiyǒu zàikàn.<br /><br />You can turn off the television. I'm not watching it.
並|我的 看法 是 這部 電影 並沒有 多好。<br /><br />wǒde· kànfǎ shì zhèbù diànyǐng bìngméiyǒu duōhǎo.<br /><br />IN my opinion, the movie wasn't that great.
內|你 準備好了 嗎 ？— 還沒。 我 五分鐘內 會 準備好。<br /><br />nǐ zhǔnbèihǎole· mā? — háiméi. wǒ wǔfēnzhōngnèi huì zhǔnbèihǎo.<br /><br />Are you ready yet? － Not yet. I'll be ready in five.
加|不是 ， 我 是 加拿大人 。<br /><br />búshì, wǒ shì jiānádàrén.<br /><br />No, I'm Canadian.
化|水的 成分 是 氧化氫 。<br /><br />shuǐde· chéngfèn shì yǎnghuàqīng.<br /><br />Water consists of hydrogen oxide.
由|一個人住的 好處 是 比較 自由 。<br /><br />yīge·rénzhùde· hǎochù shì bǐjiào zìyóu.<br /><br />The advantage OF living alone is that you have more freedom.
卻|我 知道 我 錢 不多 ， 但 卻 比 我 想像的 還 要 少 。<br /><br />wǒ zhīdào wǒ qián bùduō, dàn què bǐ wǒ xiǎngxiàngde· háiyào shǎo.<br /><br />I knew I didn't have much money, but I have even less than I thought.
代|當 你的 語言訓練 開始 越來越 辛苦 ， 代表 很快 會有 重大 突破 ， 所以 要堅持 不放棄 。<br /><br />dāng nǐde· yǔyánxùnliàn kāishǐ yuèláiyuè xīnkǔ, dàibiǎo hěnkuài huìyǒu zhòngdà tūpò, suǒyǐ yàojiānchí búfàngqì.<br /><br />When your language training starts getting tough, it means you're about to make a big breakthrough, so stick with it and don't give up.
產|這家 工廠的 產品 大部分 都 出口 。<br /><br />zhèjiā gōngchǎngde· chǎnpǐn dàbùfēn dōu chūkǒu.<br /><br />Most of the goods made in this factory are exported.
入|有人 闖入 我們的 房子 ， 但 沒有 東西 被 偷 。<br /><br />yǒurén chuǎngrù wǒmende· fángzǐ, dàn méiyǒu dōngxī bèi tōu.<br /><br />Somebody broke into our house, but nothing was stolen.
先|我 是 日本人 ， 但 我 先生 不是 日本人 。<br /><br />wǒ shì rìběnrén, dàn wǒ xiānshēng búshì rìběnrén.<br /><br />I'm Japanese, but my husband isn't.
山|我 去 爬山 。<br /><br />wǒ qù páshān.<br /><br />I went to the mountains.
五|我 二十五歲 。<br /><br />wǒ èrshíwǔsuì.<br /><br />I'm twenty-five (25).
太|你 說得 太小聲 。 我 聽不到 。<br /><br />nǐ shuōdé tàixiǎoshēng. wǒ tīngbúdào.<br /><br />You're speaking very quietly. I can't hear you.
水|她 吃 很多 水果 。<br /><br />tā chī hěnduō shuǐguǒ.<br /><br />She eats a lot of fruit.
萬|外太空 有 數百萬顆 星星 。<br /><br />wàitàikōng yǒu shùbǎiwànkē xīngxīng.<br /><br />There are millions of stars in space.
市|你 住在 大城市 嗎 ？— 不是 ， 我 不是。<br /><br />nǐ zhùzài dàchéngshì mā? — búshì, wǒ búshì.<br /><br />Do you live in a big city? — No, I don't.
