#front|back
今天 天氣 不錯 。|The weather's nice today.<br /><br />今天 天氣 不錯 。<br /><br />jīntiān tiānqì búcuò.
我的 手 好冷 。|My hands are cold.<br /><br />我的 手 好冷 。<br /><br />wǒde· shǒu hǎolěng.
巴西 是個 很大的 國家 。|Brazil is a very big country.<br /><br />巴西 是個 很大的 國家 。<br /><br />bāxī shìge· hěndàde· guójiā.
鑽石 不便宜 。|Diamonds are not cheap.<br /><br />鑽石 不便宜 。<br /><br />zuānshí bùpiányí.
多倫多 不在 美國 。|Toronto isn't in the United States.<br /><br />多倫多 不在 美國 。<br /><br />duōlúnduō búzài měiguó.
我 累了 。|I'm tired.<br /><br />我 累了 。<br /><br />wǒ lèile·.
我 不累 。|I'm not tired.<br /><br />我 不累 。<br /><br />wǒ búlèi.
我 餓了 。|I'm hungry.<br /><br />我 餓了 。<br /><br />wǒ èle·.
我 不餓 。|I'm not hungry.<br /><br />我 不餓 。<br /><br />wǒ búè.
他 很 會 游泳 。|He's a good swimmer.<br /><br />他 很 會 游泳 。<br /><br />tā hěn huì yóuyǒng.
我 對 政治 沒有 興趣 。|I'm not interested in politics.<br /><br />我 對 政治 沒有 興趣 。<br /><br />wǒ duì zhèngzhì méiyǒu xìngqù.
你 叫 什麼 名字 ？|What's your name?<br /><br />你 叫 什麼 名字 ？<br /><br />nǐ jiào shéme míngzì?
我 叫 艾曼達 。|My name's Amanda.<br /><br />我 叫 艾曼達 。<br /><br />wǒ jiào àimàndá.
你 結婚了 嗎 ？|Are you married?<br /><br />你 結婚了 嗎 ？<br /><br />nǐ jiéhūnle· mā?
還沒， 我 單身 。|No, I'm single.<br /><br />還沒， 我 單身 。<br /><br />háiméi, wǒ dānshēn.
你 幾歲 ？|How old are you?<br /><br />你 幾歲 ？<br /><br />nǐ jǐsuì?
我 二十五歲 。|I'm twenty-five (25).<br /><br />我 二十五歲 。<br /><br />wǒ èrshíwǔsuì.
你 是 學生 嗎 ？|Are you a student?<br /><br />你 是 學生 嗎 ？<br /><br />nǐ shì xuéshēng mā?
對 ， 我 是 。|Yes, I am [a student].<br /><br />對 ， 我 是 。<br /><br />duì, wǒ shì.
我 有 遲到 嗎 ？|Am I late?<br /><br />我 有 遲到 嗎 ？<br /><br />wǒ yǒu chídào mā?
沒有 ， 你 準時 到 。|No, you're on time.<br /><br />沒有 ， 你 準時 到 。<br /><br />méiyǒu, nǐ zhǔnshí dào.
你 媽媽 在 家 嗎 ？|Is your mother at home?<br /><br />你 媽媽 在 家 嗎 ？<br /><br />nǐ māmā zài jiā mā?
不在 ， 她 出門了 。|No, she's out.<br /><br />不在 ， 她 出門了 。<br /><br />búzài, tā chūménle·.
你的 爸媽 在 家 嗎 ？|Are your parents at home?<br /><br />你的 爸媽 在 家 嗎 ？<br /><br />nǐde· bàmā zài jiā mā?
不在 ， 他們 出門了 。|No, they're out.<br /><br />不在 ， 他們 出門了 。<br /><br />búzài, tāmen chūménle·.
你的 房間 會冷 嗎 ?|Is it cold in your room?<br /><br />你的 房間 會冷 嗎 ?<br /><br />nǐde· fángjiān huìlěng mā?
有 一點 。|Yes, a little.<br /><br />有 一點 。<br /><br />yǒu yìdiǎn.
你的 鞋子 還 不錯 ， 是 新的 嗎 ?|Your shoes are nice. Are they new?<br /><br />你的 鞋子 還 不錯 ， 是 新的 嗎 ?<br /><br />nǐde· xiézǐ hái búcuò, shì xīnde· mā?
對 啊 ， 是 新的 。|Yes, they are.<br /><br />對 啊 ， 是 新的 。<br /><br />duì a, shì xīnde·.
你 媽媽 在 哪裡 ？ 她 在 家 嗎 ？|Where's your mother? Is she at home?<br /><br />你 媽媽 在 哪裡 ？ 她 在 家 嗎 ？<br /><br />nǐ māmā zài nǎlǐ? tā zài jiā mā?
你 來自 哪裡 ？|Where are you from?<br /><br />你 來自 哪裡 ？<br /><br />nǐ láizì nǎlǐ?
我 來自 加拿大 。|I'm from Canada.<br /><br />我 來自 加拿大 。<br /><br />wǒ láizì jiānádà.
你的 車 是 什麼 顏色 的 ？|What color is your car?<br /><br />你的 車 是 什麼 顏色 的 ？<br /><br />nǐde· chē shì shéme yánsè de·?
是 紅色 的。|It's red.<br /><br />是 紅色 的。<br /><br />shì hóngsè de·.
哈珊 幾歲 ？|How old is Hassan?<br /><br />哈珊 幾歲 ？<br /><br />hāshān jǐsuì?
他 二十四歲 。|He's twenty-four (24).<br /><br />他 二十四歲 。<br /><br />tā èrshísìsuì.
你的 爸媽 好 嗎 ？|How are your parents?<br /><br />你的 爸媽 好 嗎 ？<br /><br />nǐde· bàmā hǎo mā?
他們都 很好。|They're doing fine.<br /><br />他們都 很好。<br /><br />tāmendōu hěnhǎo.
這些 明信片 不錯 ， 要多少 錢 ？|These postcards are nice. How much are they?<br /><br />這些 明信片 不錯 ， 要多少 錢 ？<br /><br />zhèxiē míngxìnpiàn búcuò, yàoduōshǎo qián?
一塊 美金。 一 英鎊。一塊 歐元。|They're a dollar (USD). They're a pound (GBP). They're a euro (EUR).<br /><br />一塊 美金。 一 英鎊。一塊 歐元。<br /><br />yíkuài měijīn. yī yīngbàng. yíkuài ōuyuán.
這 旅館 並不怎麼 好， 為什麼 這麼 貴 ？|This hotel isn't very good. Why is it so expensive?<br /><br />這 旅館 並不怎麼 好， 為什麼 這麼 貴 ？<br /><br />zhè lǚguǎn bìngbùzěnme hǎo, wèishéme zhème guì?
你的 電話號碼 幾號 ？|What's your phone number?<br /><br />你的 電話號碼 幾號 ？<br /><br />nǐde· diànhuàhàomǎ jǐhào?
那個 男人 是 誰 ？|Who's that man?<br /><br />那個 男人 是 誰 ？<br /><br />nàge· nánrén shì shéi?
他 是 老闆 。|He's the boss.<br /><br />他 是 老闆 。<br /><br />tā shì lǎobǎn.
你朋友 在 哪裡 ？|Where's your friend?<br /><br />你朋友 在 哪裡 ？<br /><br />nǐpéngyǒu zài nǎlǐ?
她 在 廁所 。|She's in the bathroom.<br /><br />她 在 廁所 。<br /><br />tā zài cèsuǒ.
你爸爸 好 嗎 ？|How's your father?<br /><br />你爸爸 好 嗎 ？<br /><br />nǐbàba· hǎo mā?
他 很好。|He's doing great.<br /><br />他 很好。<br /><br />tā hěnhǎo.
你 累 嗎 ？|Are you tired?<br /><br />你 累 嗎 ？<br /><br />nǐ lèi mā?
對 ， 我 累了 。|Yes, I am [tired].<br /><br />對 ， 我 累了 。<br /><br />duì, wǒ lèile·.
你 會餓 嗎 ？|Are you hungry?<br /><br />你 會餓 嗎 ？<br /><br />nǐ huìè mā?
不會 ， 但 我 會渴 。|No, but I'm thirsty.<br /><br />不會 ， 但 我 會渴 。<br /><br />búhuì, dàn wǒ huìkě.
你朋友 是 中國人 嗎 ？|Is your friend Chinese?<br /><br />你朋友 是 中國人 嗎 ？<br /><br />nǐpéngyǒu shì zhōngguórén mā?
對 ， 他 是 。|Yes, he is [Chinese].<br /><br />對 ， 他 是 。<br /><br />duì, tā shì.
這些 是 你的 鑰匙 嗎 ？|Are these your keys?<br /><br />這些 是 你的 鑰匙 嗎 ？<br /><br />zhèxiē shì nǐde· yàoshi· mā?
對 ， 是 我的 。|Yes, they are [mine].<br /><br />對 ， 是 我的 。<br /><br />duì, shì wǒde·.
那 是 我的 位子 。|That's my seat.<br /><br />那 是 我的 位子 。<br /><br />nà shì wǒde· wèizǐ.
不是 ， 那 不是 。|No, it isn't [yours].<br /><br />不是 ， 那 不是 。<br /><br />búshì, nà búshì.
相機 在 哪裡 ？|Where's the camera?<br /><br />相機 在 哪裡 ？<br /><br />xiàngjī zài nǎlǐ?
在 你包包 裡 。|It's in your bag.<br /><br />在 你包包 裡 。<br /><br />zài nǐbāobāo lǐ.
你的 車子 是 藍色 的 嗎 ？|Is your car blue?<br /><br />你的 車子 是 藍色 的 嗎 ？<br /><br />nǐde· chēzǐ shì lánsè de· mā?
不是 ， 是 黑色 的 。|No, it's black.<br /><br />不是 ， 是 黑色 的 。<br /><br />búshì, shì hēisè de·.
麗莎 是 來自 多倫多 嗎 ？|Is Lisa from Toronto?<br /><br />麗莎 是 來自 多倫多 嗎 ？<br /><br />lìshā shì láizì duōlúnduō mā?
不是 ， 她 是 美國人 。|No, she's American.<br /><br />不是 ， 她 是 美國人 。<br /><br />búshì, tā shì měiguórén.
我 遲到了 嗎 ？|Am I late?<br /><br />我 遲到了 嗎 ？<br /><br />wǒ chídàole· mā?
對 ， 你 遲到了 。|Yes, you are [late].<br /><br />對 ， 你 遲到了 。<br /><br />duì, nǐ chídàole·.
蕾拉 來自 哪裡 ？|Where's Layla from?<br /><br />蕾拉 來自 哪裡 ？<br /><br />lěilā láizì nǎlǐ?
她 來自 倫敦 。|She's from London.<br /><br />她 來自 倫敦 。<br /><br />tā láizì lúndūn.
你的 包包 是 什麼 顏色 的 ？|What color is your bag?<br /><br />你的 包包 是 什麼 顏色 的 ？<br /><br />nǐde· bāobāo shì shéme yánsè de·?
是 黑色 的 。|It's black.<br /><br />是 黑色 的 。<br /><br />shì hēisè de·.
你 餓 嗎 ？|Are you hungry?<br /><br />你 餓 嗎 ？<br /><br />nǐ è mā?
繁  不， 我 不餓。|No, I'm not [hungry].<br /><br />繁  不， 我 不餓。<br /><br />bù, wǒ búè.
繁  約翰 怎麼樣 ？|How's John?<br /><br />繁  約翰 怎麼樣 ？<br /><br />yuēhàn zěnmeyàng?
繁  他 很好。|He's fine.<br /><br />繁  他 很好。<br /><br />tā hěnhǎo.
繁  那個 女生 是 誰 ？|Who's that woman?<br /><br />繁  那個 女生 是 誰 ？<br /><br />nàge· nǚshēng shì shéi?
她 是 我的 姐姐 。|She's my sister.<br /><br />她 是 我的 姐姐 。<br /><br />tā shì wǒde· jiějie·.
你的 母親 在 家 嗎 ？|Is your mother at home?<br /><br />你的 母親 在 家 嗎 ？<br /><br />nǐde· mǔqīn zài jiā mā?
你的 父母 好 嗎 ？|How are your parents?<br /><br />你的 父母 好 嗎 ？<br /><br />nǐde· fùmǔ hǎo mā?
你的 工作 有趣 嗎 ？|Is your job interesting?<br /><br />你的 工作 有趣 嗎 ？<br /><br />nǐde· gōngzuò yǒuqù mā?
繁  這些 店 今天 有開 嗎 ？|Are the stores open today?<br /><br />繁  這些 店 今天 有開 嗎 ？<br /><br />zhèxiē diàn jīntiān yǒukāi mā?
繁  你 來自 哪裡 ？|Where are you from?<br /><br />繁  你 來自 哪裡 ？<br /><br />nǐ láizì nǎlǐ?
繁  你 對 運動 有興趣 嗎 ？|Are you interested in sports?<br /><br />繁  你 對 運動 有興趣 嗎 ？<br /><br />nǐ duì yùndòng yǒuxìngqù mā?
繁  郵局 在 這附近 嗎 ？|Is the post office near here?<br /><br />繁  郵局 在 這附近 嗎 ？<br /><br />yóujú zài zhèfùjìn mā?
你的 小孩 在 學校 嗎 ？|Are your children at school?<br /><br />你的 小孩 在 學校 嗎 ？<br /><br />nǐde· xiǎohái zài xuéxiào mā?
你 為什麼 遲到 ？|Why are you late?<br /><br />你 為什麼 遲到 ？<br /><br />nǐ wèishéme chídào?
你的 小孩 怎麼樣 ？|How are your children?<br /><br />你的 小孩 怎麼樣 ？<br /><br />nǐde· xiǎohái zěnmeyàng?
他們 很好。|They're fine.<br /><br />他們 很好。<br /><br />tāmen hěnhǎo.
繁  公車站 在 哪裡 ？|Where's the bus stop?<br /><br />繁  公車站 在 哪裡 ？<br /><br />gōngchēzhàn zài nǎlǐ?
繁  在 紅綠燈 那裡 。|At the stoplight.<br /><br />繁  在 紅綠燈 那裡 。<br /><br />zài hónglǜdēng nàlǐ.
繁  你的 小孩 幾歲 ？|How old are your children?<br /><br />繁  你的 小孩 幾歲 ？<br /><br />nǐde· xiǎohái jǐsuì?
繁  五歲 、 七歲 和 十歲 。|Five (5), seven (7), and ten (10).<br /><br />繁  五歲 、 七歲 和 十歲 。<br /><br />wǔsuì, qīsuì hàn shísuì.
繁  這些 柳丁 要多少 錢 ？|How much are these oranges?<br /><br />繁  這些 柳丁 要多少 錢 ？<br /><br />zhèxiē liǔdīng yàoduōshǎo qián?
繁  一 公斤 一百 塊 台幣 。|A dollar fifty a pound ($1.50/lb). They're 2.3 Euros a kilo.<br /><br />繁  一 公斤 一百 塊 台幣 。<br /><br />yī gōngjīn yìbǎi kuài táibì.
繁  你 最喜歡的 運動 是 什麼 ？|What's your favorite sport?<br /><br />繁  你 最喜歡的 運動 是 什麼 ？<br /><br />nǐ zuìxǐhuānde· yùndòng shì shéme?
繁  我 最喜歡的 運動 是 滑雪 。|My favorite sport is skiing.<br /><br />繁  我 最喜歡的 運動 是 滑雪 。<br /><br />wǒ zuìxǐhuānde· yùndòng shì huáxuě.
這 照片裡的 男人 是 誰 ？|Who's the man in this photo?<br /><br />這 照片裡的 男人 是 誰 ？<br /><br />zhè zhàopiànlǐde· nánrén shì shéi?
是 我的 父親 。|That's my father.<br /><br />是 我的 父親 。<br /><br />shì wǒde· fùqīn.
你的 新鞋子 是 什麼 顏色 的 ？|What color are your new shoes?<br /><br />你的 新鞋子 是 什麼 顏色 的 ？<br /><br />nǐde· xīnxiézǐ shì shéme yánsè de·?
是 黑色 的 。|They're black.<br /><br />是 黑色 的 。<br /><br />shì hēisè de·.
你 叫 什麼 名字 ？|What's your name?<br /><br />你 叫 什麼 名字 ？<br /><br />nǐ jiào shéme míngzì?
我 叫 布萊恩。|I'm Brian.<br /><br />我 叫 布萊恩。<br /><br />wǒ jiào bùláiēn.
你 是 澳洲人 嗎 ？|Are you Australian?<br /><br />你 是 澳洲人 嗎 ？<br /><br />nǐ shì àozhōurén mā?
不是 ， 我 是 加拿大人 。|No, I'm Canadian.<br /><br />不是 ， 我 是 加拿大人 。<br /><br />búshì, wǒ shì jiānádàrén.
繁  你 幾歲 ？|How old are you?<br /><br />繁  你 幾歲 ？<br /><br />nǐ jǐsuì?
繁  我 三十三歲 。|I'm thirty-three.<br /><br />繁  我 三十三歲 。<br /><br />wǒ sānshísānsuì.
繁  你 是 老師 嗎 ？|Are you a teacher?<br /><br />繁  你 是 老師 嗎 ？<br /><br />nǐ shì lǎoshī mā?
繁  不是 ， 我 是 醫生 。|No, I'm a doctor.<br /><br />繁  不是 ， 我 是 醫生 。<br /><br />búshì, wǒ shì yīshēng.
繁  你 結婚了 嗎 ？|Are you married?<br /><br />繁  你 結婚了 嗎 ？<br /><br />nǐ jiéhūnle· mā?
繁  對 ， 我 結婚了 。|Yes, I am [married].<br /><br />繁  對 ， 我 結婚了 。<br /><br />duì, wǒ jiéhūnle·.
繁  你的 太太 是 醫生 嗎 ？|Is your wife a doctor?<br /><br />繁  你的 太太 是 醫生 嗎 ？<br /><br />nǐde· tàitai· shì yīshēng mā?
繁  不是 ， 她 是 老師 。|No, she's a teacher.<br /><br />繁  不是 ， 她 是 老師 。<br /><br />búshì, tā shì lǎoshī.
她 來自 哪裡 ？|Where is she from?<br /><br />她 來自 哪裡 ？<br /><br />tā láizì nǎlǐ?
她 來自 墨西哥 。|She's from Mexico.<br /><br />她 來自 墨西哥 。<br /><br />tā láizì mòxīgē.
她 叫 什麼 名字 ？|What's her name?<br /><br />她 叫 什麼 名字 ？<br /><br />tā jiào shéme míngzì?
她的 名字 是 芭芭拉 。|Her name is Barbara.<br /><br />她的 名字 是 芭芭拉 。<br /><br />tāde· míngzì shì bābālā.
繁  她 幾歲 ？|How old is she?<br /><br />繁  她 幾歲 ？<br /><br />tā jǐsuì?
繁  她 二十六歲 。|She's twenty-six (26).<br /><br />繁  她 二十六歲 。<br /><br />tā èrshíliùsuì.
繁  你 結婚了 嗎 ？— 還沒， 我 還沒 結婚 。|Are you married? — No, I'm not.<br /><br />繁  你 結婚了 嗎 ？— 還沒， 我 還沒 結婚 。<br /><br />nǐ jiéhūnle· mā? — háiméi, wǒ háiméi jiéhūn.
繁  你 會 口渴 嗎 ？— 會 ， 我 好渴 。|Are you thirsty? — Yes, I am.<br /><br />繁  你 會 口渴 嗎 ？— 會 ， 我 好渴 。<br /><br />nǐ huì kǒukě mā? — huì, wǒ hǎokě.
繁  今天 會冷 嗎 ？— 不會 ， 今天 不冷 。|Is it cold today? — No, it isn't.<br /><br />繁  今天 會冷 嗎 ？— 不會 ， 今天 不冷 。<br /><br />jīntiān huìlěng mā? — búhuì, jīntiān bùlěng.
繁  你的 手 會冷 嗎 ？— 不會 。|Are your hands cold? — No, they aren't.<br /><br />繁  你的 手 會冷 嗎 ？— 不會 。<br /><br />nǐde· shǒu huìlěng mā? — búhuì.
繁  天 黑了 嗎 ？— 對 ， 天 黑了 。|Is it dark now? — Yes, it is.<br /><br />繁  天 黑了 嗎 ？— 對 ， 天 黑了 。<br /><br />tiān hēile· mā? — duì, tiān hēile·.
繁  你 是 老師 嗎 ？— 對 ， 我 是 。|Are you a teacher? — Yes, I am.<br /><br />繁  你 是 老師 嗎 ？— 對 ， 我 是 。<br /><br />nǐ shì lǎoshī mā? — duì, wǒ shì.
繁  我 在 工作 ， 我 沒有 在看 電視 。|I'm working. I'm not watching TV.<br /><br />繁  我 在 工作 ， 我 沒有 在看 電視 。<br /><br />wǒ zài gōngzuò, wǒ méiyǒu zàikàn diànshì.
繁  芭芭拉 正在 看 報紙 。|Barbara is reading a newspaper.<br /><br />繁  芭芭拉 正在 看 報紙 。<br /><br />bābālā zhèngzài kàn bàozhǐ.
繁  她 沒有 在吃 東西 。|She isn't eating.<br /><br />繁  她 沒有 在吃 東西 。<br /><br />tā méiyǒu zàichī dōngxī.
繁  電話 在響 。|The phone is ringing.<br /><br />繁  電話 在響 。<br /><br />diànhuà zàixiǎng.
我們 正在 吃 晚餐 。|We're having dinner.<br /><br />我們 正在 吃 晚餐 。<br /><br />wǒmen zhèngzài chī wǎncān.
你 沒在 聽 我 說話 。|You're not listening to me.<br /><br />你 沒在 聽 我 說話 。<br /><br />nǐ méizài tīng wǒ shuōhuà.
孩子們 正在 寫 功課 。|The children are doing their homework.<br /><br />孩子們 正在 寫 功課 。<br /><br />háizǐmen zhèngzài xiě gōngkè.
請 安靜 。 我 正在 工作 。|Please be quiet. I'm working.<br /><br />請 安靜 。 我 正在 工作 。<br /><br />qǐng ānjìng. wǒ zhèngzài gōngzuò.
繁  天氣 不錯 ， 沒有 在下雨 。|The weather's nice. It's not raining.<br /><br />繁  天氣 不錯 ， 沒有 在下雨 。<br /><br />tiānqì búcuò, méiyǒu zàixiàyǔ.
繁  孩子們 在 哪裡 ？— 他們 在 公園裡 玩 。|Where are the children? — They're playing in the park.<br /><br />繁  孩子們 在 哪裡 ？— 他們 在 公園裡 玩 。<br /><br />háizǐmen zài nǎlǐ? — tāmen zài gōngyuánlǐ wán.
繁  我們 正在 吃 晚餐 。 我 可以 等 一下 打給 你 嗎 ？|We're having dinner now. Can I call you later?<br /><br />繁  我們 正在 吃 晚餐 。 我 可以 等 一下 打給 你 嗎 ？<br /><br />wǒmen zhèngzài chī wǎncān. wǒ kěyǐ děng yíxià dǎgěi nǐ mā?
繁  我 沒有 在看 電視 。|I'm not watching TV.<br /><br />繁  我 沒有 在看 電視 。<br /><br />wǒ méiyǒu zàikàn diànshì.
繁  她 正在 吃 蘋果 。|She's eating an apple.<br /><br />繁  她 正在 吃 蘋果 。<br /><br />tā zhèngzài chī píngguǒ.
繁  他 正在等 公車 。|He's waiting for a bus.<br /><br />繁  他 正在等 公車 。<br /><br />tā zhèngzàiděng gōngchē.
繁  他們 正在 踢 足球 。|They're playing football.<br /><br />繁  他們 正在 踢 足球 。<br /><br />tāmen zhèngzài tī zúqiú.
繁  他 躺在 地板上 。|He's lying on the floor.<br /><br />繁  他 躺在 地板上 。<br /><br />tā tǎngzài dìbǎnshàng.
我們 正在 吃 早餐 。|We're eating breakfast.<br /><br />我們 正在 吃 早餐 。<br /><br />wǒmen zhèngzài chī zǎocān.
她 坐在 桌子上 。|She's sitting on the table.<br /><br />她 坐在 桌子上 。<br /><br />tā zuòzài zhuōzǐshàng.
他 在 廚房 。 他 在煮 東西 。|He's in the kitchen. He's cooking.<br /><br />他 在 廚房 。 他 在煮 東西 。<br /><br />tā zài chúfáng. tā zàizhǔ dōngxī.
你 踩到 我的 腳了 。— 對不起 。|You stepped on my foot. — I'm sorry.<br /><br />你 踩到 我的 腳了 。— 對不起 。<br /><br />nǐ cǎidào wǒde· jiǎole·. — duìbùqǐ.
有人 在 河裡 游泳 。|Somebody is swimming in the river.<br /><br />有人 在 河裡 游泳 。<br /><br />yǒurén zài hélǐ yóuyǒng.
我們 來 這裡 渡假 。 我們 住 海邊的 旅館 。|We're here on vacation. We're staying at a hotel on the beach.<br /><br />我們 來 這裡 渡假 。 我們 住 海邊的 旅館 。<br /><br />wǒmen lái zhèlǐ dùjià. wǒmen zhù hǎibiānde· lǚguǎn.
泰拉 在 哪裡 ？— 她 在洗澡 。|Where's Tara? — She's taking a shower.<br /><br />泰拉 在 哪裡 ？— 她 在洗澡 。<br /><br />tàilā zài nǎlǐ? — tā zàixǐzǎo.
他們 在 市中心 蓋 新的 飯店 。|They're building a new hotel downtown.<br /><br />他們 在 市中心 蓋 新的 飯店 。<br /><br />tāmen zài shìzhōngxīn gài xīnde· fàndiàn.
我 要走了 ， 再見 。|I'm leaving now, goodbye.<br /><br />我 要走了 ， 再見 。<br /><br />wǒ yàozǒule·, zàijiàn.
她 沒有 在吃 晚餐 。|She isn't having dinner.<br /><br />她 沒有 在吃 晚餐 。<br /><br />tā méiyǒu zàichī wǎncān.
她 在看 電視 。|She's watching TV.<br /><br />她 在看 電視 。<br /><br />tā zàikàn diànshì.
她 坐在 地板上 。|She's sitting on the floor.<br /><br />她 坐在 地板上 。<br /><br />tā zuòzài dìbǎnshàng.
她 在看 書 。|She's reading a book.<br /><br />她 在看 書 。<br /><br />tā zàikàn shū.
他 沒有 在彈 鋼琴 。|He's not playing the piano.<br /><br />他 沒有 在彈 鋼琴 。<br /><br />tā méiyǒu zàitán gāngqín.
他 在笑 。|He's laughing.<br /><br />他 在笑 。<br /><br />tā zàixiào.
他 戴著 帽子 。|He's wearing a hat.<br /><br />他 戴著 帽子 。<br /><br />tā dàizhe· màozǐ.
繁  他 沒有 在寫 信 。|He's not writing a letter.<br /><br />繁  他 沒有 在寫 信 。<br /><br />tā méiyǒu zàixiě xìn.
繁  我 沒有 在洗 頭髮 。|I'm not washing my hair.<br /><br />繁  我 沒有 在洗 頭髮 。<br /><br />wǒ méiyǒu zàixǐ tóufǎ.
繁  沒有 在下雪 。|It isn't snowing.<br /><br />繁  沒有 在下雪 。<br /><br />méiyǒu zàixiàxuě.
繁  我 坐在 椅子上 。|I'm sitting on a chair.<br /><br />繁  我 坐在 椅子上 。<br /><br />wǒ zuòzài yǐzǐshàng.
我 沒有 在吃 東西 。|I'm not eating.<br /><br />我 沒有 在吃 東西 。<br /><br />wǒ méiyǒu zàichī dōngxī.
在 下雨 。|It's raining.<br /><br />在 下雨 。<br /><br />zài xiàyǔ.
